total_area,living_area,kitchen_area,cityCenters_nearest,bedrooms,floors_total,ceiling_height,airports_nearest,floor,balcony,price_class
75.9,44.1,8.9,10315,3,9,2.5,9774,8,1,1.0
29.8,23.0,6.0,10391,1,9,2.5,35963,2,0,0.0
30.3,16.0,6.6,14219,1,5,2.58,21490,5,0,0.0
70.0,43.1,7.5,9815,2,4,3.0,27927,4,1,0.0
46.9,30.8,6.0,16984,2,5,2.6,14435,2,0,0.0
42.2,27.0,6.0,15565,2,7,2.5,43061,5,0,0.0
40.0,18.5,13.0,15015,1,20,2.8,38171,18,0,0.0
70.0,41.0,8.9,3324,3,5,3.1,21796,1,0,1.0
70.0,37.0,15.6,15676,2,12,2.7,50926,11,2,1.0
46.0,27.0,6.0,7848,2,5,2.54,14967,1,0,0.0
87.3,57.3,12.6,4415,4,4,2.9,20141,2,0,1.0
54.0,17.5115,8.3,12482,2,10,2.56,37273,8,0,0.0
71.6,43.3,8.7,8294,3,12,2.5,30922,11,0,1.0
44.1,28.8,6.0,8288,2,5,2.5,38999,5,0,0.0
46.3,24.0,11.0,15144,1,10,2.7,16257,5,2,0.0
121.3,75.0,14.0,11065,4,17,2.75,10195,2,0,1.0
50.0,32.0,6.0,4840,2,5,2.75,23205,3,0,0.0
113.5,72.1,12.0,5332,4,11,2.7,23808,2,0,1.0
28.9,13.0,13.0,11413,1,5,3.5,21135,1,0,0.0
57.0,29.8,8.5,14844,2,9,2.5,46227,7,0,0.0
69.0,37.8,13.3,9820,2,13,2.5,37347,3,0,1.0
56.6,42.0,5.2,8801,3,5,2.52,29953,5,1,0.0
113.5,72.1,12.0,5777,4,11,2.7,24151,2,0,1.0
71.2,47.1,8.9,16396,2,3,3.2,21394,1,0,0.0
32.5,15.6,8.8,10251,1,22,2.5,26078,8,0,0.0
33.0,18.0,9.0,12449,1,18,2.55,14861,9,2,0.0
86.0,58.1,9.0,15289,3,5,3.0,20487,3,0,1.0
74.3,46.2,7.03,8129,3,6,2.45,43318,4,0,1.0
31.0,18.0,6.4,8360,1,5,2.55,32327,4,0,0.0
48.2,20.0,13.3,10952,1,15,2.75,30088,6,2,0.0
54.2,31.1,8.8,15984,2,9,2.7,25151,4,0,0.0
42.2,28.3,5.1,16595,2,5,2.5,20864,5,0,0.0
41.8,18.1,11.1,13662,1,25,2.78,33793,7,2,0.0
46.0,32.0,6.0,11474,2,5,2.7,13445,4,0,0.0
85.5,62.0,10.0,2485,3,5,2.85,22626,5,1,1.0
68.3,54.9,7.0,5744,3,5,2.8,16869,2,1,0.0
31.0,16.0,8.0,10522,1,9,2.5,35853,8,0,0.0
35.1,18.3,7.0,16199,1,9,2.7,13608,4,0,0.0
40.0,20.0,10.8,16850,1,16,2.6,14806,7,2,0.0
121.1,77.2,16.3,5914,3,5,3.5,24616,4,0,1.0
45.0,28.0,6.5,15904,2,5,2.5,17517,4,1,0.0
72.0,44.7,9.4,15936,3,9,2.6,25103,3,1,1.0
